店舗名,郵便番号,住所,曜日帯,開始時間,終了時間,種別,システム,料金
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,学生会員,30分,320
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,学生,30分,350
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,会員,30分,340
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,シニア,30分,340
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,一般,30分,380
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,学生会員,30分,380
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,学生,30分,440
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,会員,30分,390
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,シニア,30分,390
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,一般,30分,490
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,学生会員,昼フリータイム,1310
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,学生,昼フリータイム,1480
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,会員,昼フリータイム,1460
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,シニア,昼フリータイム,1460
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,平日,11:00,19:00,一般,昼フリータイム,1620
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,学生会員,昼フリータイム,1570
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,学生,昼フリータイム,1700
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,会員,昼フリータイム,1650
洛北店,606-0863,京都府京都市左京区下鴨東本町26-3 デミ洛北地下1F（受付：B1F）,土日祝,11:00,19:00,シニア,昼フリータイム,1650
